Name                  ;Cns ;Coordinates               ;Wv   ;Typ   ;    Diam;   Dist;    pmRA;    pmDe;    RV  ; Reference           ;Aliases
Bica 198              ;Cep ;22 50 53.0 +61 46 06      ;IR   ;OC    ;   22.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 429               ;Cep ;22 51 27.6 +69 03 29      ;Op   ;***   ;   15.00;       ;        ;        ;        ; GDR2_Rej            ;
Teutsch J2251+5854    ;Cep ;22 51 36.0 +58 54 42      ;Op   ;***   ;    1.50;       ;        ;        ;        ; GDR2_Rej            ;
GSC 4278-717 Grp      ;Cep ;22 51 52.0 +61 10 30      ;Op   ;***   ;   16.50;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J2251+6110
Bica 202              ;Cep ;22 53 31.0 +62 08 05      ;IR   ;OC    ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
TC 2253+5745          ;Cep ;22 53 52.0 +57 45 48      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;DSH J2253+5745
LMR 131               ;Cep ;22 53 55.0 +58 56 22      ;IR   ;OB    ;   56.00;   4200;        ;        ;        ; GDR2_Rej            ;
Bica 180              ;Cep ;22 54 04.0 +58 11 09      ;IR   ;OC??  ;    3.50;       ;        ;        ;        ; GDR2_Rej            ;
TYC 4286-878 Grp      ;Cep ;22 54 21.0 +64 18 30      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J2254+6418
LMR 132               ;Cep ;22 54 30.0 +62 05 57      ;IR   ;OB    ;  104.00;    700;        ;        ;        ; GDR2_Rej            ;
Bica 194              ;Cep ;22 54 51.0 +59 52 59      ;IR   ;OC    ;    2.10;       ;        ;        ;        ; GDR2_Rej            ;
Bica 204              ;Cep ;22 54 56.0 +62 34 15      ;IR   ;OC    ;    1.10;       ;        ;        ;        ; GDR2_Rej            ;
Bica 205              ;Cep ;22 55 01.0 +62 33 55      ;IR   ;OC    ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 181              ;Cep ;22 56 00.0 +58 14 42      ;IR   ;OC    ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
BDSB 35               ;Cep ;22 56 17.0 +58 31 14      ;IR   ;EC?   ;    1.70;       ;        ;        ;        ; GDR2_Rej            ;
Bica 207              ;Cep ;22 56 38.0 +62 42 44      ;IR   ;OC    ;   10.00;       ;        ;        ;        ; GDR2_Rej            ;
BDSB 40               ;Cep ;22 56 43.0 +62 37 31      ;Op   ;EC?   ;    2.90;       ;        ;        ;        ; GDR2_Rej            ;
Bica 182              ;Cep ;22 56 46.0 +58 30 10      ;IR   ;OC    ;    1.10;       ;        ;        ;        ; GDR2_Rej            ;
Bica 203              ;Cep ;22 57 11.0 +61 56 11      ;IR   ;OC??  ;    2.50;       ;        ;        ;        ; GDR2_Rej            ;
TC 2258+6022          ;Cep ;22 58 38.0 +60 22 18      ;Op   ;***   ;   15.00;       ;        ;        ;        ; GDR2_Rej            ;
Cep 3                 ;Cep ;22 58 39.2 +62 52 06      ;Op   ;OC    ;  149.76;    870;        ;        ;        ; GDR2_Rej            ;
Bica 208              ;Cep ;22 59 42.0 +62 46 41      ;IR   ;OC??  ;    3.50;       ;        ;        ;        ; GDR2_Rej            ;
Majaess 217           ;Cep ;22 59 43.0 +62 46 44      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Teutsch J2259+6023    ;Cep ;22 59 44.0 +60 23 42      ;Op   ;***   ;    1.90;       ;        ;        ;        ; GDR2_Rej            ;
Iss 94                ;Cep ;22 59 59.2 +63 11 07      ;Op   ;***   ;    2.80;       ;        ;        ;        ; GDR2_Rej            ;
Majaess 218           ;Cep ;23 01 23.0 +64 17 22      ;IR   ;EC?   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 418               ;Cep ;23 04 27.1 +63 09 58      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
BDSB 39               ;Cep ;23 05 11.0 +60 14 44      ;IR   ;EC?   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 206              ;Cep ;23 05 16.0 +60 05 11      ;IR   ;OC?   ;    1.50;       ;        ;        ;        ; GDR2_Rej            ;
KKC 48                ;Cep ;23 05 25.7 +60 08 15      ;IR   ;EC    ;    2.50;   3500;        ;        ;        ; GDR2_Rej            ;IRAS 23033+5951, KBD 3
GSC 4278-300 Grp      ;Cep ;23 06 13.0 +60 13 24      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;TC 2306+6013
BDSB 42               ;Cep ;23 06 22.0 +60 16 11      ;Op   ;EC?   ;    1.70;       ;        ;        ;        ; GDR2_Rej            ;Santa 122, Kernya 16
Cepheus C Core-2      ;Cep ;23 06 37.0 +62 31 48      ;IR   ;OC    ;    8.00;       ;        ;        ;        ; GDR2_Rej            ;
van Wulfen 2          ;Cep ;23 07 16.0 +60 52 54      ;Op   ;***   ;    2.50;       ;        ;        ;        ; GDR2_Rej            ;
Perkovic 1            ;Cep ;23 07 38.0 +62 37 50      ;Op   ;***   ;   10.00;       ;        ;        ;        ; GDR2_Rej            ;
LMR 133               ;Cep ;23 11 48.0 +59 56 15      ;IR   ;OB    ;   58.00;   4400;        ;        ;        ; GDR2_Rej            ;
LMR 134               ;Cep ;23 13 45.0 +61 31 28      ;IR   ;OB    ;   53.00;   6900;        ;        ;        ; GDR2_Rej            ;
BDB 86                ;Cep ;23 13 46.0 +61 28 18      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;NGC 7538-IRS1 Cl, Hodapp 33
NGC 7538-IRS1         ;Cep ;23 13 46.0 +61 28 18      ;IR   ;OC    ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;Hodapp 33, BDB 86
BDSB 160              ;Cep ;23 13 59.0 +61 27 01      ;IR   ;EC?   ;    1.50;       ;        ;        ;        ; GDR2_Rej            ;
FSR 425               ;Cep ;23 14 47.8 +61 17 06      ;Op   ;***   ;   10.80;       ;        ;        ;        ; GDR2_Rej            ;
WKR 54                ;Cep ;23 15 00.0 +60 12 36      ;Op   ;OB    ;  257.40;   3035;        ;        ;        ; GDR2_Rej            ;
FSR 422               ;Cep ;23 15 13.0 +60 48 36      ;Op   ;***   ;    9.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 211              ;Cep ;23 17 30.0 +69 55 45      ;IR   ;OC    ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
Raymond 10            ;Cep ;23 20 43.0 +77 09 12      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;DSH J2320+7709
MWSC 4674             ;Cep ;23 22 08.4 +84 00 36      ;Op   ;***   ;   25.20;       ;        ;        ;        ; GDR2_Rej            ;
Majaess 221           ;Cep ;23 25 52.0 +64 07 47      ;IR   ;EC?   ;   13.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 463               ;Cep ;23 27 10.0 +73 10 09      ;Op   ;***   ;    0.50;       ;        ;        ;        ; GDR2_Rej            ;
FSR 466               ;Cep ;23 27 24.7 +73 12 07      ;Op   ;***   ;   16.80;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 634           ;Cep ;23 29 45.0 +64 12 56      ;IR   ;OC??  ;    7.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 492               ;Cep ;23 34 37.2 +81 13 48      ;Op   ;***   ;   24.60;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 639           ;Cep ;23 34 48.0 +65 40 08      ;IR   ;OC?   ;    7.00;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 636           ;Cep ;23 35 24.0 +64 54 31      ;IR   ;OC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 635           ;Cep ;23 35 27.0 +64 52 14      ;IR   ;OC?   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 472               ;Cep ;23 36 01.7 +73 51 36      ;Op   ;***   ;   38.40;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J2336+6543     ;Cep ;23 36 07.6 +65 43 28      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
NGC 7708              ;Cep ;23 36 18.0 +72 51 04      ;Op   ;***   ;   23.40;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 640           ;Cep ;23 36 29.0 +65 16 45      ;IR   ;OC?   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 638           ;Cep ;23 37 24.0 +64 29 36      ;IR   ;OC??  ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 464               ;Cep ;23 38 04.1 +70 41 06      ;Op   ;***   ;   16.80;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 637           ;Cep ;23 38 06.0 +63 56 33      ;Op   ;OC?   ;    7.00;       ;        ;        ;        ; GDR2_Rej            ;
TC 2342+6754          ;Cep ;23 42 54.0 +67 54 42      ;Op   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;GSC 4479-596 Grp
Alessi 69             ;Cep ;23 43 02.0 +70 04 12      ;Op   ;***   ;   60.00;       ;        ;        ;        ; GDR2_Rej            ;
Santa 101             ;Cep ;23 45 14.0 +82 48 24      ;Op   ;***   ;   50.00;       ;        ;        ;        ; GDR2_Rej            ;
Santa 164             ;Cep ;23 50 30.0 +78 02 00      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
NGC 7762a             ;Cep ;23 59 56.0 +68 02 03      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
Bk 59 West            ;Cep ;23 59 58.0 +67 51 17      ;Op   ;OC?   ;   14.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 225016 Grp         ;Cet ;00 02 40.0 -19 25 12      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
NGC 7826              ;Cet ;00 05 17.0 -20 41 30      ;Op   ;***   ;   20.00;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 439           ;Cet ;00 17 30.0 -17 49 18      ;IR   ;***   ;   24.00;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 438           ;Cet ;00 19 17.0 -18 47 55      ;IR   ;***   ;   20.00;       ;        ;        ;        ; GDR2_Rej            ;
Moland 1              ;Cet ;00 26 26.0 -13 45 00      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 3807 Grp           ;Cet ;00 40 29.0 -04 06 42      ;Op   ;***   ;   57.00;       ;        ;        ;        ; GDR2_Rej            ;
Eta Ceti Grp          ;Cet ;01 06 55.0 -09 58 30      ;Op   ;***   ;   66.00;       ;        ;        ;        ; GDR2_Rej            ;
Santa 104             ;Cet ;01 11 55.0 -08 44 00      ;Op   ;***   ;   90.00;       ;        ;        ;        ; GDR2_Rej            ;
Kronberger 17         ;Cet ;01 49 06.0 -07 22 30      ;Op   ;***   ;   26.00;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 932           ;Cet ;02 05 02.0 -18 09 26      ;IR   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 934           ;Cet ;02 05 54.0 -17 56 17      ;IR   ;***   ;    2.50;       ;        ;        ;        ; GDR2_Rej            ;
Camargo 939           ;Cet ;02 07 08.0 -18 13 15      ;IR   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
Foldvari 64           ;Cet ;02 12 51.0 -21 05 00      ;Op   ;***   ;   15.00;       ;        ;        ;        ; GDR2_Rej            ;
TYC 4693-788 Grp      ;Cet ;02 18 26.0 -03 09 24      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J0218-0309
Nu Ceti Grp           ;Cet ;02 36 18.0 +06 41 30      ;Op   ;***   ;  133.00;       ;        ;        ;        ; GDR2_Rej            ;Patchick-Wienerroither 1
Toth 3                ;Cet ;02 36 57.0 +02 29 05      ;Op   ;***   ;   52.00;       ;        ;        ;        ; GDR2_Rej            ;
Foldvari 18           ;Cet ;02 36 58.0 -10 14 15      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
Renou 24              ;Cet ;03 04 11.0 +06 58 04      ;Op   ;***   ;    2.10;       ;        ;        ;        ; GDR2_Rej            ;
HD 20165 Grp          ;Cet ;03 14 32.0 +09 02 54      ;Op   ;***   ;   40.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J0314+0902
Alessi 212            ;Cha ;07 49 25.0 -80 40 20      ;Op   ;***   ;    9.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 213            ;Cha ;08 03 36.0 -80 09 12      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 214            ;Cha ;08 26 18.0 -82 10 24      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 215            ;Cha ;08 39 45.0 -78 51 46      ;Op   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
Streicher 21          ;Cha ;08 51 00.0 -80 09 30      ;Op   ;***   ;   22.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1579              ;Cha ;09 13 40.8 -77 25 30      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 4137             ;Cha ;09 26 11.4 -79 44 24      ;Op   ;***   ;   21.60;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1577              ;Cha ;09 28 46.1 -76 05 06      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5679             ;Cha ;09 33 00.0 -78 58 12      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 216            ;Cha ;09 35 51.0 -78 23 00      ;Op   ;***   ;   15.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 4140             ;Cha ;09 36 36.0 -77 28 48      ;Op   ;***   ;   27.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5680             ;Cha ;09 43 48.0 -78 12 18      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 217            ;Cha ;09 59 48.0 -76 14 43      ;Op   ;***   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 124            ;Cha ;10 24 43.0 -80 58 55      ;Op   ;***   ;  260.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 218            ;Cha ;10 25 39.0 -79 53 22      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 219            ;Cha ;10 30 16.0 -76 08 00      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5681             ;Cha ;10 41 47.3 -82 00 18      ;Op   ;***   ;   13.80;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 220            ;Cha ;10 52 18.0 -77 27 24      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
WG 5                  ;Cha ;10 58 24.9 -77 17 19      ;IR   ;EC    ;   21.00;    185;        ;        ;        ; GDR2_Rej            ;SZ Cha
Cha I Assoc           ;Cha ;11 09 37.4 -77 01 31      ;IR   ;YAs   ;  570.00;    190;        ;        ;        ; GDR2_Rej            ;BDB 255, Theia 909
Bica 470              ;Cha ;11 09 48.0 -77 26 31      ;IR   ;EC?   ;    3.50;    188;        ;        ;        ; GDR2_Rej            ;
Bica 468              ;Cha ;11 12 28.0 -76 44 22      ;IR   ;EC?   ;    0.70;    195;        ;        ;        ; GDR2_Rej            ;CV Cha
Bica 471              ;Cha ;11 12 43.0 -77 22 24      ;IR   ;***   ;    0.70;       ;        ;        ;        ; GDR2_Rej            ;
IC 2884               ;Cha ;11 27 41.6 -79 44 07      ;Op   ;***   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;ESO 20-2
FSR 1607              ;Cha ;11 33 00.0 -77 49 30      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 472              ;Cha ;11 37 10.0 -75 52 29      ;IR   ;***   ;    9.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 475              ;Cha ;11 51 51.0 -79 21 19      ;IR   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 222            ;Cha ;11 52 36.0 -83 08 26      ;Op   ;***   ;    9.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 477              ;Cha ;11 58 52.0 -79 34 11      ;IR   ;***   ;    7.00;       ;        ;        ;        ; GDR2_Rej            ;
Cha-Near Assoc        ;Cha ;12 00 09.2 -78 11 43      ;Op   ;YAs   ;  480.00;    103;        ;        ;        ; GDR2_Rej            ;MHY 1
Bica 478              ;Cha ;12 13 44.0 -78 34 19      ;IR   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
Cseh 23               ;Cha ;12 18 20.0 -79 18 44      ;Op   ;***   ;   22.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1626              ;Cha ;12 20 06.0 -81 30 36      ;Op   ;***   ;   24.00;       ;        ;        ;        ; GDR2_Rej            ;
Streicher 53          ;Cha ;12 21 36.0 -76 27 00      ;Op   ;***   ;   20.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi 223            ;Cha ;12 31 32.0 -76 20 30      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1629              ;Cha ;12 34 55.2 -80 57 00      ;Op   ;***   ;   20.40;       ;        ;        ;        ; GDR2_Rej            ;
Cha III               ;Cha ;12 37 48.0 -80 15 00      ;IR   ;***   ;  220.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1631              ;Cha ;12 45 43.2 -81 15 29      ;Op   ;***   ;   21.60;       ;        ;        ;        ; GDR2_Rej            ;
Bica 479              ;Cha ;12 49 39.0 -79 45 40      ;IR   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 480              ;Cha ;12 53 14.0 -77 15 30      ;IR   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 481              ;Cha ;12 53 17.0 -77 07 03      ;IR   ;***   ;   39.00;       ;        ;        ;        ; GDR2_Rej            ;
Bica 482              ;Cha ;12 55 09.0 -76 57 41      ;IR   ;***   ;    7.00;       ;        ;        ;        ; GDR2_Rej            ;Alessi 224, Cha II HH clustering
Bica 483              ;Cha ;13 00 10.0 -77 26 37      ;IR   ;***   ;    9.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5685             ;Cha ;13 05 24.0 -82 02 35      ;Op   ;***   ;   19.20;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1639              ;Cha ;13 09 16.1 -77 08 06      ;Op   ;***   ;   23.40;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1640              ;Cha ;13 11 54.5 -77 27 00      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
VVVX CL 16            ;Cir ;13 50 07.4 -65 00 27      ;IR   ;OC    ;    0.40;       ;        ;        ;        ; GDR2_Rej            ;
ASCC 76               ;Cir ;13 52 13.7 -66 24 18      ;Op   ;***   ;   26.40;       ;        ;        ;        ; GDR2_Rej            ;
Loden 995             ;Cir ;13 54 18.0 -64 57 00      ;Op   ;***   ;   19.80;       ;        ;        ;        ; GDR2_Rej            ;
Loden 1002            ;Cir ;13 54 36.0 -65 20 06      ;Op   ;***   ;   16.80;       ;        ;        ;        ; GDR2_Rej            ;
COCD 339              ;Cir ;13 54 41.0 -64 57 00      ;Op   ;***   ;   23.00;       ;        ;        ;        ; GDR2_Rej            ;
VVVX CL 17            ;Cir ;13 55 16.9 -65 03 25      ;Op   ;OC    ;    2.20;   3700;        ;        ;        ; GDR2_Rej            ;
FSR 1661              ;Cir ;13 57 55.7 -69 21 54      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
NGC 5359              ;Cir ;14 00 00.0 -70 24 00      ;Op   ;***   ;   20.40;       ;        ;        ;        ; GDR2_Rej            ;
Ruprecht 110          ;Cir ;14 05 38.4 -67 28 30      ;Op   ;***   ;   22.20;       ;        ;        ;        ; GDR2_Rej            ;
VVVX CL 18            ;Cir ;14 06 21.6 -64 43 53      ;Op   ;OC    ;    1.00;   3143;        ;        ;        ; GDR2_Rej            ;
ESO 97-15             ;Cir ;14 15 25.2 -64 37 48      ;Op   ;***   ;   14.40;       ;        ;        ;        ; GDR2_Rej            ;
LMR 196               ;Cir ;14 41 57.0 -60 31 34      ;IR   ;OC    ;    2.90;   6100;        ;        ;        ; GDR2_Rej            ;
DBSB 137              ;Cir ;14 42 02.2 -60 30 36      ;IR   ;EC    ;    6.60;   5276;        ;        ;        ; GDR2_Rej            ;
La Serena 169         ;Cir ;14 43 09.4 -59 03 01      ;IR   ;EC    ;    1.00;   3200;        ;        ;        ; GDR2_Rej            ;
LMR 197               ;Cir ;14 43 12.0 -60 17 14      ;IR   ;OC    ;    3.00;  12400;        ;        ;        ; GDR2_Rej            ;La Serena 170, IRAS 14394-6004
TC 1443-5841          ;Cir ;14 43 26.0 -58 41 54      ;Op   ;OC    ;    9.00;   2548;        ;        ;        ; GDR2_Rej            ;Cir R2
VVV-CL 40             ;Cir ;14 44 22.0 -59 11 47      ;IR   ;OC?   ;    1.10;       ;        ;        ;        ; GDR2_Rej            ;
La Serena 171         ;Cir ;14 44 30.9 -59 49 04      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 1678              ;Cir ;14 44 34.8 -64 44 24      ;Op   ;***   ;   16.80;       ;        ;        ;        ; GDR2_Rej            ;
Loden 1409            ;Cir ;14 44 40.1 -61 42 54      ;Op   ;***   ;   31.20;       ;        ;        ;        ; GDR2_Rej            ;
La Serena 172         ;Cir ;14 45 06.7 -60 26 18      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14412-6013
La Serena 173         ;Cir ;14 45 12.5 -59 47 05      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
La Serena 175         ;Cir ;14 45 17.7 -59 25 59      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14414-5913
La Serena 174         ;Cir ;14 45 17.7 -59 52 09      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Urq G317.00+0.30      ;Cir ;14 45 18.3 -59 25 52      ;IR   ;EC?   ;    0.65;   2800;        ;        ;        ; GDR2_Rej            ;
DBSB 90               ;Cir ;14 45 19.0 -59 49 45      ;IR   ;EC    ;    1.40;   9380;        ;        ;        ; GDR2_Rej            ;
DBSB 91               ;Cir ;14 45 26.0 -59 49 15      ;IR   ;EC    ;    0.88;   9380;        ;        ;        ; GDR2_Rej            ;
Mercer 55             ;Cir ;14 45 35.0 -59 46 52      ;IR   ;OC?   ;    0.20;       ;        ;        ;        ; GDR2_Rej            ;GLIMPSE 55
TC 1446-6043          ;Cir ;14 46 20.0 -60 43 52      ;Op   ;OC?   ;    3.00;   2560;        ;        ;        ; GDR2_Rej            ;
La Serena 176         ;Cir ;14 46 23.4 -60 35 48      ;IR   ;EC?   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14425-6023
VVV-CL 41             ;Cir ;14 46 26.0 -59 23 17      ;Op   ;OC    ;    1.80;   4400;        ;        ;        ; GDR2_Rej            ;
LMR 198               ;Cir ;14 48 00.0 -59 53 34      ;IR   ;OB    ;   39.00;   6250;        ;        ;        ; GDR2_Rej            ;
La Serena 177         ;Cir ;14 48 25.8 -59 31 13      ;IR   ;EC?   ;    0.50;   3800;        ;        ;        ; GDR2_Rej            ;
Mercer 56             ;Cir ;14 49 09.5 -59 25 04      ;IR   ;OC?   ;    1.00;   2940;        ;        ;        ; GDR2_Rej            ;GLIMPSE 56, La Serena 178, IRAS 14453-5912
Golden Horseshoe      ;Cir ;14 50 00.0 -66 00 00      ;Op   ;***   ;   60.00;       ;        ;        ;        ; GDR2_Rej            ;
La Serena 179         ;Cir ;14 51 11.4 -59 16 58      ;IR   ;EC?   ;    0.35;   3090;        ;        ;        ; GDR2_Rej            ;IRAS 14473-5904
G3CC 19               ;Cir ;14 51 18.0 -59 50 47      ;IR   ;EC    ;    0.75;   2930;        ;        ;        ; GDR2_Rej            ;La Serena 180
La Serena 181         ;Cir ;14 51 56.0 -59 08 14      ;IR   ;EC?   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;
La Serena 182         ;Cir ;14 52 02.9 -60 00 19      ;IR   ;EC?   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;
La Serena 183         ;Cir ;14 52 05.7 -59 10 13      ;IR   ;EC?   ;    0.70;  12300;        ;        ;        ; GDR2_Rej            ;
TC 1452-5603          ;Cir ;14 52 07.0 -56 03 50      ;Op   ;***   ;    1.20;       ;        ;        ;        ; GDR2_Rej            ;
G3CC 21               ;Cir ;14 53 43.2 -59 08 50      ;IR   ;EC    ;    1.50;   3560;        ;        ;        ; GDR2_Rej            ;G318.051+0.087, La Serena 184, IRAS 14498-5856
G3CC 20               ;Cir ;14 53 45.6 -59 31 34      ;IR   ;EC    ;    1.20;   2350;        ;        ;        ; GDR2_Rej            ;
La Serena 185         ;Cir ;14 53 54.0 -59 30 53      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14500-5918
HD 130966 Grp         ;Cir ;14 54 00.0 -58 24 00      ;Op   ;***   ;   28.00;       ;        ;        ;        ; GDR2_Rej            ;Kernya 89
LMR 199               ;Cir ;14 54 51.0 -59 50 00      ;IR   ;OB    ;   26.00;   6300;        ;        ;        ; GDR2_Rej            ;
La Serena 186         ;Cir ;14 56 36.2 -60 14 36      ;IR   ;EC?   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14526-6002
VVVX CL 24            ;Cir ;14 56 58.9 -61 35 33      ;IR   ;OC    ;    0.93;   2660;        ;        ;        ; GDR2_Rej            ;
FSR 1685              ;Cir ;14 57 14.4 -64 56 42      ;Op   ;***   ;   10.20;       ;        ;        ;        ; GDR2_Rej            ;
VVV-CL 42             ;Cir ;14 58 48.0 -60 40 07      ;IR   ;OC    ;    2.50;   4400;        ;        ;        ; GDR2_Rej            ;
La Serena 187         ;Cir ;14 59 29.0 -58 20 09      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Froebrich Cl 105      ;Cir ;14 59 29.2 -58 20 10      ;IR   ;EC?   ;    0.45;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14556-5808
La Serena 188         ;Cir ;14 59 29.8 -59 06 38      ;IR   ;EC?   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14556-5854
G3CC 23               ;Cir ;14 59 32.4 -57 49 05      ;IR   ;EC    ;    1.10;   2840;        ;        ;        ; GDR2_Rej            ;La Serena 189, IRAS 14557-5737
G3CC 22               ;Cir ;14 59 33.5 -59 00 59      ;IR   ;EC    ;    1.80;   2480;        ;        ;        ; GDR2_Rej            ;La Serena 190, IRAS 14557-5849
G318.774-0.151        ;Cir ;14 59 34.0 -59 01 26      ;IR   ;EC?   ;    0.50;   2690;        ;        ;        ; GDR2_Rej            ;
La Serena 191         ;Cir ;14 59 39.3 -60 16 59      ;IR   ;EC?   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14556-6004
SHU 37                ;Cir ;15 00 35.0 -58 58 10      ;IR   ;EC?   ;    0.30;       ;        ;        ;        ; GDR2_Rej            ;La Serena 192, Froebrich Cl 106
La Serena 193         ;Cir ;15 00 55.5 -58 59 00      ;IR   ;EC?   ;    1.00;       ;        ;        ;        ; GDR2_Rej            ;IRAS 14567-5846
